name,"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""CPE","Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""CPE",Acer 15.6 Chromebook CB5-571-C4G4CPE,ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703XCPE,"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""CPE","12 MacBook (Mid 2017, Silver)CPE","Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""CPE"
"Apple MacBook Pro MLUQ2LL/A 13.3 Notebook - Intel Core i5 Dual-core (2 Core) 2 GHz - 8 GB LPDDR3 - 256 GB SSD - Mac OS X 10.12 Sierra - 2560 x 1600 - In-plane Switching (IPS) Technology - Silver""",-8.31,No Effect,-7.32,No Effect,No Effect,No Effect,No Effect
"Lenovo - 100S-14IBR 14 Laptop - Intel Celeron - 2GB Memory - 32GB eMMC Flash Memory - Navy blue""",-12.99,-5.8,-6.98,No Effect,No Effect,No Effect,No Effect
Acer 15.6 Chromebook CB5-571-C4G4,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect
ASUS VivoBook Max X541SA 15.6Inch Laptop Intel Pentium 4GB Memory 500GB HD Matte IMR X541SA-PD0703X,No Effect,No Effect,No Effect,-26.5,No Effect,No Effect,No Effect
"Dell - Inspiron 15.6 Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB + 8GB Hybrid Hard Drive - Red""",No Effect,No Effect,No Effect,No Effect,-20.62,No Effect,No Effect
"12 MacBook (Mid 2017, Silver)",47.17,No Effect,No Effect,-93.14,No Effect,-81.88,-53.91
"Details About Apple Macbook Air 13.3 Laptop (early 2015) 2.2ghz Core I7 8gb 256gb""",No Effect,No Effect,No Effect,No Effect,No Effect,No Effect,No Effect
